role,document_path,document_label,source_as_of,publisher,segment,icr_fraction,stress_rate_fraction,notes,included_in_decision_pool
decision,private-datasets/misc/Paragon Portfolio buy-to-let product guide.pdf,Paragon Portfolio Buy-to-Let Product Guide,2024-05-15,Paragon Bank,SSC basic-rate taxpayer (20%),1.25,0.055,Published lower-bound standard-property lender floor retained as the selected default benchmark.,true
decision,private-datasets/misc/Paragon Portfolio buy-to-let product guide.pdf,Paragon Portfolio Buy-to-Let Product Guide,2024-05-15,Paragon Bank,SSC limited company,1.25,0.055,Published lower-bound standard-property lender floor retained as the selected default benchmark.,true
decision,private-datasets/misc/Paragon Portfolio buy-to-let product guide.pdf,Paragon Portfolio Buy-to-Let Product Guide,2024-05-15,Paragon Bank,HMO or multi-unit or all other property basic-rate taxpayer (20%),1.3,0.055,Retained for the rejected cross-segment mean diagnostic only.,true
decision,private-datasets/misc/Paragon Portfolio buy-to-let product guide.pdf,Paragon Portfolio Buy-to-Let Product Guide,2024-05-15,Paragon Bank,HMO or multi-unit or all other property limited company,1.3,0.055,Retained for the rejected cross-segment mean diagnostic only.,true
decision,private-datasets/misc/Paragon Portfolio buy-to-let product guide.pdf,Paragon Portfolio Buy-to-Let Product Guide,2024-05-15,Paragon Bank,SSC higher-rate taxpayer (40%),1.4,0.055,Retained as visible heterogeneity above the selected default benchmark.,true
decision,private-datasets/misc/Paragon Portfolio buy-to-let product guide.pdf,Paragon Portfolio Buy-to-Let Product Guide,2024-05-15,Paragon Bank,SSC additional-rate taxpayer (45%),1.4,0.055,Retained as visible heterogeneity above the selected default benchmark.,true
decision,private-datasets/misc/Paragon Portfolio buy-to-let product guide.pdf,Paragon Portfolio Buy-to-Let Product Guide,2024-05-15,Paragon Bank,HMO or multi-unit or all other property higher-rate taxpayer (40%),1.45,0.055,Retained as visible heterogeneity above the selected default benchmark.,true
decision,private-datasets/misc/Paragon Portfolio buy-to-let product guide.pdf,Paragon Portfolio Buy-to-Let Product Guide,2024-05-15,Paragon Bank,HMO or multi-unit or all other property additional-rate taxpayer (45%),1.45,0.055,Retained as visible heterogeneity above the selected default benchmark.,true
context,private-datasets/ukf/Buy to let Mortgage Market Update Q1.pdf,UK Finance Buy to let Mortgage Market Update Q1 2024,2024 Q1,UK Finance,Average observed market ICR,1.91,,Observed market outcome used only as a sanity check that underwriting outcomes sit well above the selected floor.,false
context,private-datasets/ukf/Buy to let Mortgage Market Update Q2.pdf,UK Finance Buy to let Mortgage Market Update Q2 2024,2024 Q2,UK Finance,Average observed market ICR,1.96,,Observed market outcome used only as a sanity check that underwriting outcomes sit well above the selected floor.,false
context,private-datasets/ukf/Buy to let Mortgage Market Update Q3.pdf,UK Finance Buy to let Mortgage Market Update Q3 2024,2024 Q3,UK Finance,Average observed market ICR,1.95,,Observed market outcome used only as a sanity check that underwriting outcomes sit well above the selected floor.,false
context,private-datasets/ukf/Buy to let Mortgage Market Update Q4.pdf,UK Finance Buy to let Mortgage Market Update Q4 2024,2024 Q4,UK Finance,Average observed market ICR,2.01,,Observed market outcome used only as a sanity check that underwriting outcomes sit well above the selected floor.,false
excluded,private-datasets/misc/CMI-BTL-ProductGuide.pdf,CMI-BTL-ProductGuide.pdf,2022-05-30,CHL Mortgages,Excluded file mismatch,,,On-disk file appears to be a 30 May 2022 CHL Mortgages guide rather than a 2024 CMI artifact so it is excluded from the proxy decision.,false
