DATE,LPMVTUZ
31 Jan 1995,3673
28 Feb 1995,3566
31 Mar 1995,4801
30 Apr 1995,4259
31 May 1995,4769
30 Jun 1995,5306
31 Jul 1995,5016
31 Aug 1995,5295
30 Sep 1995,4901
31 Oct 1995,4716
30 Nov 1995,5220
31 Dec 1995,4727
31 Jan 1996,4306
29 Feb 1996,4242
31 Mar 1996,5288
30 Apr 1996,5089
31 May 1996,6185
30 Jun 1996,6096
31 Jul 1996,6960
31 Aug 1996,6798
30 Sep 1996,6056
31 Oct 1996,6672
30 Nov 1996,6765
31 Dec 1996,6169
31 Jan 1997,5099
28 Feb 1997,4993
31 Mar 1997,5463
30 Apr 1997,5824
31 May 1997,6381
30 Jun 1997,6960
31 Jul 1997,7698
31 Aug 1997,7009
30 Sep 1997,6767
31 Oct 1997,6973
30 Nov 1997,6223
31 Dec 1997,6489
31 Jan 1998,5231
28 Feb 1998,5189
31 Mar 1998,6564
30 Apr 1998,6884
31 May 1998,7002
30 Jun 1998,8290
31 Jul 1998,9385
31 Aug 1998,8189
30 Sep 1998,8213
31 Oct 1998,7957
30 Nov 1998,7764
31 Dec 1998,7622
31 Jan 1999,5954
28 Feb 1999,6070
31 Mar 1999,8708
30 Apr 1999,8759
31 May 1999,9137
30 Jun 1999,10681
31 Jul 1999,11707
31 Aug 1999,10794
30 Sep 1999,10758
31 Oct 1999,10366
30 Nov 1999,10611
31 Dec 1999,9511
31 Jan 2000,7344
29 Feb 2000,7814
31 Mar 2000,10167
30 Apr 2000,9107
31 May 2000,10073
30 Jun 2000,11426
31 Jul 2000,10565
31 Aug 2000,11009
30 Sep 2000,9821
31 Oct 2000,9889
30 Nov 2000,10618
31 Dec 2000,9895
31 Jan 2001,9409
28 Feb 2001,9156
31 Mar 2001,11607
30 Apr 2001,11379
31 May 2001,13483
30 Jun 2001,14606
31 Jul 2001,15211
31 Aug 2001,16326
30 Sep 2001,13503
31 Oct 2001,14800
30 Nov 2001,15075
31 Dec 2001,13033
31 Jan 2002,13356
28 Feb 2002,13194
31 Mar 2002,15561
30 Apr 2002,16201
31 May 2002,20223
30 Jun 2002,17020
31 Jul 2002,21356
31 Aug 2002,20952
30 Sep 2002,19222
31 Oct 2002,21100
30 Nov 2002,20736
31 Dec 2002,19249
31 Jan 2003,19495
28 Feb 2003,17705
31 Mar 2003,19641
30 Apr 2003,20336
31 May 2003,22199
30 Jun 2003,22791
31 Jul 2003,25608
31 Aug 2003,24036
30 Sep 2003,25794
31 Oct 2003,27881
30 Nov 2003,25364
31 Dec 2003,24270
31 Jan 2004,21720
29 Feb 2004,20789
31 Mar 2004,24345
30 Apr 2004,24669
31 May 2004,24013
30 Jun 2004,27994
31 Jul 2004,28588
31 Aug 2004,26265
30 Sep 2004,24988
31 Oct 2004,22810
30 Nov 2004,21540
31 Dec 2004,20892
31 Jan 2005,17121
28 Feb 2005,17632
31 Mar 2005,20527
30 Apr 2005,21478
31 May 2005,22058
30 Jun 2005,25562
31 Jul 2005,25156
31 Aug 2005,26450
30 Sep 2005,27090
31 Oct 2005,26510
30 Nov 2005,27544
31 Dec 2005,26324
31 Jan 2006,22691
28 Feb 2006,22272
31 Mar 2006,27736
30 Apr 2006,24204
31 May 2006,28640
30 Jun 2006,31839
31 Jul 2006,30117
31 Aug 2006,32749
30 Sep 2006,29018
31 Oct 2006,30410
30 Nov 2006,33138
31 Dec 2006,28117
31 Jan 2007,26564
28 Feb 2007,24986
31 Mar 2007,30864
30 Apr 2007,27291
31 May 2007,31452
30 Jun 2007,33837
31 Jul 2007,33842
31 Aug 2007,33641
30 Sep 2007,29914
31 Oct 2007,32656
30 Nov 2007,28956
31 Dec 2007,22799
31 Jan 2008,25212
29 Feb 2008,24087
31 Mar 2008,23041
30 Apr 2008,25281
31 May 2008,23678
30 Jun 2008,22592
31 Jul 2008,23620
31 Aug 2008,19099
30 Sep 2008,16729
31 Oct 2008,17909
30 Nov 2008,13970
31 Dec 2008,12473
31 Jan 2009,11174
28 Feb 2009,9625
31 Mar 2009,10764
30 Apr 2009,10151
31 May 2009,9982
30 Jun 2009,11990
31 Jul 2009,13821
31 Aug 2009,11894
30 Sep 2009,12631
31 Oct 2009,13279
30 Nov 2009,12213
31 Dec 2009,13262
31 Jan 2010,8673
28 Feb 2010,9239
31 Mar 2010,11376
30 Apr 2010,10139
31 May 2010,10830
30 Jun 2010,12630
31 Jul 2010,13314
31 Aug 2010,12064
30 Sep 2010,12166
31 Oct 2010,11391
30 Nov 2010,11480
31 Dec 2010,10562
31 Jan 2011,9353
28 Feb 2011,9178
31 Mar 2011,11222
30 Apr 2011,9833
31 May 2011,10618
30 Jun 2011,12375
31 Jul 2011,12334
31 Aug 2011,13074
30 Sep 2011,13446
31 Oct 2011,12033
30 Nov 2011,13047
31 Dec 2011,11744
31 Jan 2012,10803
29 Feb 2012,10392
31 Mar 2012,12764
30 Apr 2012,10061
31 May 2012,12766
30 Jun 2012,12142
31 Jul 2012,13075
31 Aug 2012,13180
30 Sep 2012,11708
31 Oct 2012,13067
30 Nov 2012,12981
31 Dec 2012,11573
31 Jan 2013,11720
28 Feb 2013,10702
31 Mar 2013,11633
30 Apr 2013,12464
31 May 2013,15034
30 Jun 2013,14956
31 Jul 2013,16914
31 Aug 2013,16677
30 Sep 2013,16323
31 Oct 2013,17638
30 Nov 2013,17033
31 Dec 2013,16624
31 Jan 2014,16102
28 Feb 2014,14736
31 Mar 2014,15370
30 Apr 2014,16740
31 May 2014,16804
30 Jun 2014,17875
31 Jul 2014,19345
31 Aug 2014,17832
30 Sep 2014,17807
31 Oct 2014,18365
30 Nov 2014,16112
31 Dec 2014,16221
31 Jan 2015,14959
28 Feb 2015,13722
31 Mar 2015,16336
30 Apr 2015,16165
31 May 2015,16227
30 Jun 2015,20279
31 Jul 2015,21792
31 Aug 2015,19732
30 Sep 2015,20254
31 Oct 2015,21931
30 Nov 2015,20553
31 Dec 2015,19819
31 Jan 2016,18694
29 Feb 2016,18189
31 Mar 2016,26439
30 Apr 2016,17797
31 May 2016,18052
