age_code,source_age_column,source_age_code,source_share,lower_edge,upper_edge,midpoint,unweighted_count,weight_sum,mass,density
1,hhageGR4,1,1.0,16.0,20.0,18.0,22,80027.0,0.0027803603243029902,0.0006950900810757476
2,hhageGR4,2,1.0,20.0,25.0,22.5,248,716087.0,0.024878851931837448,0.004975770386367489
3,hhageGR4,3,1.0,25.0,30.0,27.5,744,1796833.0,0.06242697067987448,0.012485394135974897
4,hhageGR4,4,1.0,30.0,35.0,32.5,1157,2394796.0,0.08320186665999606,0.016640373331999213
5,hhageGR4,5,1.0,35.0,40.0,37.5,1342,2455460.0,0.08530950256679647,0.017061900513359294
6,hhageGR4,6,1.0,40.0,45.0,42.5,1399,2549752.0,0.08858546862449171,0.017717093724898342
7,hhageGR4,7,1.0,45.0,50.0,47.5,1221,2292073.0,0.07963298423789632,0.015926596847579265
8,hhageGR4,8,1.0,50.0,55.0,52.5,1320,2602623.0,0.09042235405948519,0.018084470811897038
9,hhageGR4,9,1.0,55.0,60.0,57.5,1463,2789164.0,0.09690330667867376,0.019380661335734753
10,hhageGR4,10,1.0,60.0,65.0,62.5,1597,2511288.0,0.08724912239741847,0.017449824479483695
11,hhageGR4,11,1.0,65.0,70.0,67.5,1686,2369638.0,0.08232780784186199,0.016465561568372398
12,hhageGR4,12,1.0,70.0,75.0,72.5,1462,1937149.0,0.0673019383690906,0.01346038767381812
13,hhageGR4,13,0.25,75.0,80.0,77.5,3093,1072017.5,0.03724486640706862,0.007448973281413725
14,hhageGR4,13,0.25,80.0,85.0,82.5,3093,1072017.5,0.03724486640706862,0.007448973281413725
15,hhageGR4,13,0.5,85.0,95.0,90.0,3093,2144035.0,0.07448973281413725,0.007448973281413725
