metricId,baseline,candidate,baselineLoss,candidateLoss,lossDelta,lossPctDelta,baselineSeedMean,candidateSeedMean,seedMeanDelta,seedMeanPctDelta,baselineStatus,candidateStatus
overallCompositeLoss,v4.26 2024 10seed 500-3500 rescored,v5o2 2024 10seed 500-3500,0.6137234580996009,0.5919869747680289,-0.021736483331572076,-3.541739043001428,,,,,,
core_mortgageApprovals,v4.26 2024 10seed 500-3500 rescored,v5o2 2024 10seed 500-3500,0.6991457315921223,0.6389096570029703,-0.06023607458915203,-8.615667931202276,82.7833661,77.86069366666666,-4.922672433333332,-5.946451159508157,fail,fail
core_housingTransactions,v4.26 2024 10seed 500-3500 rescored,v5o2 2024 10seed 500-3500,0.9088242332403704,0.8596413898423888,-0.049182843397981624,-5.411700260524799,151.39279679999999,143.9608896,-7.4319071999999835,-4.909022989923378,fail,fail
core_advancesToFTB,v4.26 2024 10seed 500-3500 rescored,v5o2 2024 10seed 500-3500,0.5469566280878784,0.5222347810902174,-0.024721846997661,-4.519891656507908,30.59743026666667,29.802501799999998,-0.794928466666672,-2.5980236240057057,fail,fail
core_advancesToHM,v4.26 2024 10seed 500-3500 rescored,v5o2 2024 10seed 500-3500,0.7200783502482621,0.3786594940308464,-0.34141885621741563,-47.414125990554275,31.0596689,25.665564900000003,-5.394103999999995,-17.366907604092315,fail,fail
core_advancesToBTL,v4.26 2024 10seed 500-3500 rescored,v5o2 2024 10seed 500-3500,1.8663416456117519,1.9212648413535822,0.054923195741830355,2.9428264578979353,21.126266933333333,22.39262696666667,1.266360033333335,5.994244214226288,fail,fail
core_debtToIncome,v4.26 2024 10seed 500-3500 rescored,v5o2 2024 10seed 500-3500,0.0015083393554672915,0.30657565969867956,0.30506732034321227,20225.37695097804,135.43698289,133.24847608666664,-2.188506803333354,-1.6158856736426477,pass,fail
core_priceToIncome,v4.26 2024 10seed 500-3500 rescored,v5o2 2024 10seed 500-3500,0.3079127511327753,0.5313111601975586,0.22339840906478337,72.55250334483601,4.839002706666666,5.101743093333333,0.26274038666666666,5.429639175541083,fail,fail
core_housePriceGrowth,v4.26 2024 10seed 500-3500 rescored,v5o2 2024 10seed 500-3500,0.004166895130208344,0.010670066434244825,0.00650317130403648,156.06755391780936,0.08658480666666665,0.12554441,0.03895960333333334,44.99588880912981,pass,pass
core_hpiMean,v4.26 2024 10seed 500-3500 rescored,v5o2 2024 10seed 500-3500,0.6300179487280769,0.621871412217045,-0.008146536511031921,-1.2930641940406147,1.2444793771738702,1.1926533909962826,-0.0518259861775876,-4.164471274347749,fail,fail
core_hpiStd,v4.26 2024 10seed 500-3500 rescored,v5o2 2024 10seed 500-3500,0.498968956647887,0.6113831995407881,0.11241424289290114,22.529305960857553,0.23794422077862404,0.31930127866601593,0.08135705788739189,34.19165114461174,fail,fail
core_hpiCyclePeriod,v4.26 2024 10seed 500-3500 rescored,v5o2 2024 10seed 500-3500,0.9023983608041528,0.800588415867187,-0.10180994493696582,-11.282150916834567,106.40916347381865,118.6786282051282,12.269464731309554,11.530458778889267,fail,fail
rpi_mean,v4.26 2024 10seed 500-3500 rescored,v5o2 2024 10seed 500-3500,0.320869504550825,0.10593388386484903,-0.214935620685976,-66.98536870521787,1.096360754110128,1.0570792838240504,-0.039281470286077536,-3.582896427003239,fail,pass
household_owning_share,v4.26 2024 10seed 500-3500 rescored,v5o2 2024 10seed 500-3500,0.6271692403479046,0.6064398012280839,-0.020729439119820614,-3.3052384884694823,78.1470552297992,76.07062776362929,-2.0764274661699034,-2.6570770454036454,fail,fail
household_renting_share,v4.26 2024 10seed 500-3500 rescored,v5o2 2024 10seed 500-3500,0.5139319138705558,0.5335578345625267,0.01962592069197089,3.8187783560983672,20.82685111689989,22.77534167623867,1.948490559338783,9.355665666413133,fail,fail
core_ooDebtToIncome,v4.26 2024 10seed 500-3500 rescored,v5o2 2024 10seed 500-3500,0.902775278138183,0.85662395205247,-0.04615132608571304,-5.112161044207162,119.82993335666666,114.30467338333332,-5.525259973333334,-4.610918005677035,fail,fail
core_rentalYield,v4.26 2024 10seed 500-3500 rescored,v5o2 2024 10seed 500-3500,0.8028651970498197,0.8698813962476217,0.067016199197802,8.347129685538416,5.140059419999999,4.779457823333333,-0.36060159666666625,-7.015514164360892,fail,fail
core_interestRateSpread,v4.26 2024 10seed 500-3500 rescored,v5o2 2024 10seed 500-3500,0.00016590801915597836,0.00014301168872805258,-2.2896330427925777e-05,-13.800617079515488,0.5256717066666667,0.5242991,-0.0013726066666667203,-0.2611148078275978,pass,pass
income_distribution_jsd,v4.26 2024 10seed 500-3500 rescored,v5o2 2024 10seed 500-3500,0.18874759331781896,0.18972873706789664,0.0009811437500776843,0.5198178863269555,0.08973859206038262,0.08991090535613469,0.000172313295752069,0.1920169369674578,pass,pass
housing_wealth_distribution_jsd,v4.26 2024 10seed 500-3500 rescored,v5o2 2024 10seed 500-3500,1.6642763062847152,1.3056495438912636,-0.3586267623934516,-21.548510967751515,0.20444562531189833,0.17246561539705127,-0.03198000991484706,-15.642305804322774,fail,fail
financial_wealth_distribution_jsd,v4.26 2024 10seed 500-3500 rescored,v5o2 2024 10seed 500-3500,0.16734837983408793,0.1686712574816288,0.001322877647540882,0.7904932505784674,0.07882483458711773,0.07882684489475429,2.0103076365657335e-06,0.0025503480560354723,pass,pass
