iteration,memberId,overallCompositeLoss,rankingLoss,rankingObjective,passCount,warnCount,failCount,normalizedSourceMovement,PSYCHOLOGICAL_COST_OF_RENTING,SENSITIVITY_RENT_OR_PURCHASE,BTL_PROBABILITY_MULTIPLIER,BTL_CHOICE_INTENSITY,MARKET_AVERAGE_PRICE_DECAY
0,0,0.5652252115924438,0.5652252115924438,family_aware_metric_loss,4,1,15,0.0,0.4,0.001,1.76,100.0,0.5
1,0,0.5515073164481152,0.5515073164481152,family_aware_metric_loss,4,2,14,0.153805160316184,0.5627305885466551,0.0011977760728875575,1.5989714780334585,88.81374381869267,0.48507733844765205
1,1,0.6511970216562263,0.6511970216562263,family_aware_metric_loss,4,1,15,0.4133693891483824,0.2708914956457468,0.0007634628068738349,0.5158086227333171,77.56034158543711,0.6757367888086485
1,2,0.5126924824655866,0.5126924824655866,family_aware_metric_loss,6,1,13,0.14535774733629098,0.3886353188982657,0.0011000285667559075,1.2121967405387237,119.35335699899444,0.5761512840848144
1,3,0.638315774071924,0.638315774071924,family_aware_metric_loss,3,1,16,0.3744385066859301,0.47465139320458943,0.0005700078743978172,0.6809402062509474,59.66319292382773,0.4514997038297658
1,4,0.7280678554585878,0.7280678554585878,family_aware_metric_loss,4,0,16,0.3779721671201166,0.40387689313176856,0.0009485934795538787,0.35819156245810857,53.526028843355625,0.40597105665891087
1,5,0.5684293705767263,0.5684293705767263,family_aware_metric_loss,4,0,16,0.24601113863631624,0.33056877514876654,0.0006469545085229447,1.505582622054691,137.92887045656346,0.5944661842525285
1,6,0.6197274513214891,0.6197274513214891,family_aware_metric_loss,4,1,15,0.4291958197240485,0.24355838486298867,0.0013594223572994907,0.6496505809186073,65.94565459484308,0.6654253092152125
1,7,0.5521561273247624,0.5521561273247624,family_aware_metric_loss,4,3,13,0.2507244034890782,0.5242643289380168,0.0006584278443294262,0.8308360165404399,100.66947078489987,0.5427050767478859
1,8,0.6397322010915022,0.6397322010915022,family_aware_metric_loss,3,2,15,0.4012704705422744,0.5470437107425375,0.001017193962721744,0.5689563418231735,146.56149835295662,0.6927579017167438
1,9,0.5504251299364766,0.5504251299364766,family_aware_metric_loss,5,0,15,0.3891167682501953,0.21683824819904443,0.0005271226328557813,0.9480784122647402,55.67247919766278,0.5043932997160876
1,10,0.6978921624496334,0.6978921624496334,family_aware_metric_loss,3,1,16,0.32321093251205707,0.2994453087281805,0.001270627237599127,0.4091166645142061,109.1752253650627,0.43297087499175513
1,11,0.5275375416257158,0.5275375416257158,family_aware_metric_loss,5,2,13,0.17897673741909662,0.42957551539899214,0.0008099489680537859,1.3195270440740332,72.44900836158752,0.5562058069454308
1,12,0.560990852325974,0.560990852325974,family_aware_metric_loss,4,2,14,0.2814052970369113,0.5055968774983776,0.0014734800551972247,1.1190365079792286,81.0813889409486,0.6137286901647958
1,13,0.6177505881329293,0.6177505881329293,family_aware_metric_loss,3,1,16,0.24416197868509845,0.3629869180450912,0.0007136200506507973,0.7368721242198083,94.0423153458651,0.4228434661481666
1,14,0.5496879157732869,0.5496879157732869,family_aware_metric_loss,4,1,15,0.18496459265234863,0.2483222130921203,0.0008962479663480149,1.7319156719877646,65.74176581576135,0.5228485790162118
1,15,0.6854629627343469,0.6854629627343469,family_aware_metric_loss,3,1,16,0.47509801883592717,0.5890176556446506,0.000611215765386689,0.47651253794140025,128.71289313592615,0.6468823299143733
1,16,0.5368358423673585,0.5368358423673585,family_aware_metric_loss,7,1,12,0.2673461663953835,0.5972138917775672,0.0008983357467020529,1.0058957413041365,70.36126778421378,0.46960920647041254
1,17,0.6447360019661063,0.6447360019661063,family_aware_metric_loss,3,2,15,0.3686338310350431,0.256816296793155,0.0005778837420980986,0.5361255902447106,104.61660261285512,0.5848416964583067
1,18,0.5268803496675178,0.5268803496675178,family_aware_metric_loss,6,0,14,0.3661245801706567,0.34566394575253206,0.0014285527952892349,1.2601050649382273,50.211113222584416,0.6749980614147228
1,19,0.6888611353306503,0.6888611353306503,family_aware_metric_loss,3,1,16,0.3297492639892847,0.4899001617177936,0.0007470726618845616,0.42834001890600115,132.68151364278964,0.47404570445741634
2,0,0.5580391616551237,0.5580391616551237,family_aware_metric_loss,5,0,15,0.30568659236313117,0.234726308818491,0.0015000000000000005,1.9,141.21218832292195,0.62942477941317
2,1,0.5586815464661263,0.5586815464661263,family_aware_metric_loss,5,0,15,0.3060500989016613,0.234726308818491,0.0015000000000000005,1.9,150.00000000000003,0.4
3,0,0.5547422711264147,0.5547422711264147,family_aware_metric_loss,5,0,15,0.2519649172036723,0.234726308818491,0.0006443940149772543,1.9,107.72290767699656,0.4
3,1,0.5704153547421609,0.5704153547421609,family_aware_metric_loss,5,0,15,0.24095741165528656,0.234726308818491,0.0015000000000000005,1.9,104.90730634405934,0.4
4,0,0.5663349073472432,0.5663349073472432,family_aware_metric_loss,5,0,15,0.24421797493099998,0.234726308818491,0.0009925850647654081,1.9,150.00000000000003,0.62942477941317
4,1,0.542818415974419,0.542818415974419,family_aware_metric_loss,5,1,14,0.24752075629509762,0.234726308818491,0.0010259150473720625,1.9,150.00000000000003,0.62942477941317
5,0,0.5555287826774261,0.5555287826774261,family_aware_metric_loss,5,0,15,0.10812356012104382,0.42987432370306194,0.0009704916671887653,1.9,124.57309396155179,0.43912029978264944
5,1,0.542099821580393,0.542099821580393,family_aware_metric_loss,5,1,14,0.13630188147073685,0.41592773226005675,0.001245730939615518,1.9,124.57309396155179,0.5654322680621077
6,0,0.5555385632267178,0.5555385632267178,family_aware_metric_loss,5,0,15,0.19838772071633531,0.3288133330588759,0.0015000000000000005,1.9,150.00000000000003,0.5144677747988442
6,1,0.5533226516599167,0.5533226516599167,family_aware_metric_loss,5,0,15,0.10614075731161203,0.3288133330588759,0.0010901028718114274,1.9,126.84606856489839,0.5086066735911908
7,0,0.5368253459377318,0.5368253459377318,family_aware_metric_loss,5,2,13,0.11506656847927114,0.34321966364589185,0.001,1.9,100.0,0.62942477941317
7,1,0.5378293370030323,0.5378293370030323,family_aware_metric_loss,5,1,14,0.10401253113381677,0.4138855873862463,0.001,1.9,104.86121688444833,0.62942477941317
8,0,0.5571327686409109,0.5571327686409109,family_aware_metric_loss,4,1,15,0.12275028136786052,0.3653030099259542,0.0011619389788620198,1.4182207923815828,107.4609122642212,0.5670256853619754
8,1,0.5560990576271276,0.5560990576271276,family_aware_metric_loss,5,0,15,0.08454301410095497,0.40369110428820715,0.0015000000000000005,1.9,100.0,0.5
9,0,0.5360037376373009,0.5360037376373009,family_aware_metric_loss,5,1,14,0.1958750344100535,0.3796842863200114,0.0013903891703159089,1.8613772606120698,139.0389170315909,0.5979885620777138
9,1,0.5455571556650278,0.5455571556650278,family_aware_metric_loss,5,0,15,0.14386736380767556,0.4594373039199548,0.0011161231740339048,1.9,139.0389170315909,0.5449553065342606
10,0,0.5283709146550988,0.5283709146550988,family_aware_metric_loss,6,1,13,0.2040581119910038,0.4594373039199548,0.0013903891703159089,1.9,129.9952738166602,0.5979885620777138
10,1,0.5459223588310315,0.5459223588310315,family_aware_metric_loss,5,1,14,0.11183827823983569,0.4594373039199548,0.0011161231740339048,1.9,118.47278853261406,0.5401981718539293
11,0,0.5496468740264122,0.5496468740264122,family_aware_metric_loss,5,0,15,0.08893868610082958,0.37203735154189377,0.0011161231740339048,1.9,111.61231740339048,0.5442585266824862
11,1,0.5635308190737921,0.5635308190737921,family_aware_metric_loss,5,0,15,0.16204362873991843,0.4594373039199548,0.0011161231740339048,1.9,128.5647173173106,0.5979885620777138
12,0,0.5426936310578615,0.5426936310578615,family_aware_metric_loss,5,0,15,0.1563018814707368,0.4377953185278486,0.0013160740129524926,1.9,131.60740129524925,0.5489667215828176
12,1,0.5616606770299062,0.5616606770299062,family_aware_metric_loss,5,0,15,0.1363018814707367,0.4377953185278486,0.0013160740129524926,1.9,117.91476456813663,0.5489667215828176
13,0,0.5392670908865539,0.5392670908865539,family_aware_metric_loss,5,0,15,0.12718577562372751,0.39396437085770064,0.0013160740129524926,1.7458998317480605,126.9826621245721,0.5489667215828176
13,1,0.5472593401179255,0.5472593401179255,family_aware_metric_loss,5,0,15,0.13468332963206056,0.39396437085770064,0.0013160740129524926,1.9,126.56449461660475,0.5489667215828176
14,0,0.5551588790080105,0.5551588790080105,family_aware_metric_loss,4,1,15,0.11232813193593309,0.41592773226005675,0.001245730939615518,1.814626332432306,125.57727982360271,0.5325073980795378
14,1,0.5722096485264103,0.5722096485264103,family_aware_metric_loss,4,0,16,0.1571857756237274,0.37203735154189377,0.0013903891703159089,1.6042980118410035,134.15303128720197,0.5325073980795378
15,0,0.561426282421733,0.561426282421733,family_aware_metric_loss,4,0,16,0.13506660048330807,0.37203735154189377,0.001245730939615518,1.6613376023142596,121.53082209372998,0.5654322680621077
15,1,0.5522611029390019,0.5522611029390019,family_aware_metric_loss,5,1,14,0.15342509927812908,0.37203735154189377,0.001376265413504282,1.9,134.15303128720197,0.5325073980795378
16,0,0.5586290033594625,0.5586290033594625,family_aware_metric_loss,5,0,15,0.126885507663573,0.41592773226005675,0.001245730939615518,1.7773754069974457,126.63725410217509,0.5579944449778828
16,1,0.5528781888375626,0.5528781888375626,family_aware_metric_loss,4,1,15,0.14676781802100672,0.41592773226005675,0.0013411526388652079,1.7903994629923843,127.37827796999787,0.5654322680621077
17,0,0.553403222841584,0.553403222841584,family_aware_metric_loss,5,0,15,0.13218577562372735,0.3829880579923042,0.0013527213515515104,1.6736019923945347,123.5425030631759,0.540730077312259
17,1,0.5642326831978995,0.5642326831978995,family_aware_metric_loss,4,1,15,0.12669149221601333,0.40494978294553335,0.0013527213515515104,1.6736019923945347,123.5425030631759,0.540730077312259
18,0,0.5272480302862771,0.5272480302862771,family_aware_metric_loss,6,0,14,0.12854963316312623,0.3829880579923042,0.0013527213515515104,1.7902450317239105,123.74654369148375,0.540730077312259
18,1,0.54113930878807,0.54113930878807,family_aware_metric_loss,5,0,15,0.13279488554621405,0.3829880579923042,0.0013527213515515104,1.7897256184389247,126.6900245227033,0.540730077312259
19,0,0.5482184161049157,0.5482184161049157,family_aware_metric_loss,5,0,15,0.13015395033246938,0.39396437085770064,0.0013903891703159089,1.8147040998855857,127.19238445916682,0.5325073980795378
19,1,0.5536181535214165,0.5536181535214165,family_aware_metric_loss,5,0,15,0.12862253868259008,0.39396437085770064,0.0013903891703159089,1.7913493493254768,120.3940561433878,0.5489667215828176
20,0,0.5497127659354141,0.5497127659354141,family_aware_metric_loss,5,0,15,0.1377453880470397,0.37203735154189377,0.0013903891703159089,1.7781080199385322,120.3940561433878,0.5489667215828176
20,1,0.5497951698664044,0.5497951698664044,family_aware_metric_loss,5,0,15,0.14122064806275395,0.39016829716423196,0.0013903891703159089,1.804576302541654,127.19238445916682,0.5489667215828176
21,0,0.5355694287647128,0.5355694287647128,family_aware_metric_loss,5,1,14,0.11868692968881327,0.37203735154189377,0.0013160740129524926,1.7282577362643554,120.3940561433878,0.5325073980795378
21,1,0.54733740032678,0.54733740032678,family_aware_metric_loss,5,0,15,0.11196223764286921,0.38541342523442457,0.0013160740129524926,1.782963656145489,120.3940561433878,0.5325073980795378
22,0,0.5383146576777438,0.5383146576777438,family_aware_metric_loss,5,1,14,0.12971185264474636,0.377508477125346,0.0013342718679275666,1.8285045552407788,124.53908648649049,0.5366162190443671
22,1,0.5430580087721488,0.5430580087721488,family_aware_metric_loss,5,0,15,0.1281631980542796,0.3884740428708864,0.0013342718679275666,1.8285045552407788,125.45763412682506,0.5400939144812341
23,0,0.5411555039011439,0.5411555039011439,family_aware_metric_loss,5,1,14,0.1256806078428682,0.38199405854711455,0.0013342718679275666,1.7778367577128065,122.05879046075584,0.5448474281544871
23,1,0.5391931385558462,0.5391931385558462,family_aware_metric_loss,5,0,15,0.12562046025650084,0.377508477125346,0.0013342718679275666,1.7527860482634183,122.05879046075584,0.5425408094020301
24,0,0.5456552720453962,0.5456552720453962,family_aware_metric_loss,5,0,15,0.13793717849876905,0.377508477125346,0.0013481781038512284,1.8285045552407788,125.45763412682506,0.5448474281544871
24,1,0.5517898139416884,0.5517898139416884,family_aware_metric_loss,5,0,15,0.1360496331631264,0.377508477125346,0.0013714259431891762,1.8285045552407788,122.05879046075584,0.5448474281544871
25,0,0.5403843185503168,0.5403843185503168,family_aware_metric_loss,5,1,14,0.1272996331631262,0.3802473385911169,0.001343464939817982,1.7714165276914888,124.59915169416419,0.5386726149104835
25,1,0.56466882042194,0.56466882042194,family_aware_metric_loss,5,0,15,0.12979963316312623,0.3802473385911169,0.001343464939817982,1.7714165276914888,124.59915169416419,0.5427884129398312
26,0,0.5527437066529606,0.5527437066529606,family_aware_metric_loss,5,0,15,0.12546010203095248,0.3857303785469499,0.00136204153953676,1.7813402338400994,122.89976992119053,0.5386726149104835
26,1,0.5340979361977393,0.5340979361977393,family_aware_metric_loss,5,1,14,0.1236188090354732,0.3857303785469499,0.001343464939817982,1.7912928389259517,122.89976992119053,0.5386726149104835
27,0,0.5497881689739628,0.5497881689739628,family_aware_metric_loss,5,0,15,0.12949392578243363,0.3802473385911169,0.001343464939817982,1.804601308322553,124.59915169416419,0.5386726149104835
27,1,0.5509958291353084,0.5509958291353084,family_aware_metric_loss,5,0,15,0.12922440326089873,0.3802473385911169,0.001343464939817982,1.8092736651773667,123.31399878606526,0.5408325085011831
28,0,0.547414516129564,0.547414516129564,family_aware_metric_loss,5,0,15,0.12100003719346993,0.4,0.0014000000000000004,1.7900000000000003,119.99999999999996,0.54
28,1,0.5457603104603347,0.5457603104603347,family_aware_metric_loss,5,0,15,0.1438756622773277,0.35,0.0014000000000000004,1.7900000000000003,119.99999999999996,0.54
28,2,0.5617222727765042,0.5617222727765042,family_aware_metric_loss,4,1,15,0.1438756622773277,0.45,0.0014000000000000004,1.7900000000000003,119.99999999999996,0.54
28,3,0.5281306832549355,0.5281306832549355,family_aware_metric_loss,5,1,14,0.10750884054145253,0.4,0.0013000000000000006,1.7900000000000003,119.99999999999996,0.54
28,4,0.542606896154837,0.542606896154837,family_aware_metric_loss,5,1,14,0.1335600407904794,0.4,0.0015000000000000005,1.7900000000000003,119.99999999999996,0.54
28,5,0.5356738382642459,0.5356738382642459,family_aware_metric_loss,5,1,14,0.1206693350255114,0.4,0.0014000000000000004,1.7849999999999995,119.99999999999996,0.54
28,6,0.552258832790176,0.552258832790176,family_aware_metric_loss,5,0,15,0.1213298168995109,0.4,0.0014000000000000004,1.795,119.99999999999996,0.54
