memberId,centerDistance,PSYCHOLOGICAL_COST_OF_RENTING_levelIndex,SENSITIVITY_RENT_OR_PURCHASE_levelIndex,BTL_PROBABILITY_MULTIPLIER_levelIndex,BTL_CHOICE_INTENSITY_levelIndex,MARKET_AVERAGE_PRICE_DECAY_levelIndex,PSYCHOLOGICAL_COST_OF_RENTING,SENSITIVITY_RENT_OR_PURCHASE,BTL_PROBABILITY_MULTIPLIER,BTL_CHOICE_INTENSITY,MARKET_AVERAGE_PRICE_DECAY
0,0,1,1,1,1,1,0.4,0.001,1.76,100.0,0.5
1,1,1,1,1,1,0,0.4,0.001,1.76,100.0,0.3
2,1,1,1,1,1,2,0.4,0.001,1.76,100.0,0.7
3,1,1,1,1,0,1,0.4,0.001,1.76,31.62,0.5
4,1,1,1,1,2,1,0.4,0.001,1.76,316.2,0.5
5,1,1,1,0,1,1,0.4,0.001,1.72,100.0,0.5
6,1,1,1,2,1,1,0.4,0.001,1.8,100.0,0.5
7,1,1,0,1,1,1,0.4,0.0003162,1.76,100.0,0.5
8,1,1,2,1,1,1,0.4,0.003162,1.76,100.0,0.5
9,1,0,1,1,1,1,0.3,0.001,1.76,100.0,0.5
10,1,2,1,1,1,1,0.5,0.001,1.76,100.0,0.5
11,2,1,1,1,0,0,0.4,0.001,1.76,31.62,0.3
12,2,1,1,1,0,2,0.4,0.001,1.76,31.62,0.7
13,2,1,1,1,2,0,0.4,0.001,1.76,316.2,0.3
14,2,1,1,1,2,2,0.4,0.001,1.76,316.2,0.7
15,2,1,1,0,1,0,0.4,0.001,1.72,100.0,0.3
16,2,1,1,0,1,2,0.4,0.001,1.72,100.0,0.7
17,2,1,1,2,1,0,0.4,0.001,1.8,100.0,0.3
18,2,1,1,2,1,2,0.4,0.001,1.8,100.0,0.7
19,2,1,1,0,0,1,0.4,0.001,1.72,31.62,0.5
20,2,1,1,0,2,1,0.4,0.001,1.72,316.2,0.5
21,2,1,1,2,0,1,0.4,0.001,1.8,31.62,0.5
22,2,1,1,2,2,1,0.4,0.001,1.8,316.2,0.5
23,2,1,0,1,1,0,0.4,0.0003162,1.76,100.0,0.3
24,2,1,0,1,1,2,0.4,0.0003162,1.76,100.0,0.7
25,2,1,2,1,1,0,0.4,0.003162,1.76,100.0,0.3
26,2,1,2,1,1,2,0.4,0.003162,1.76,100.0,0.7
27,2,1,0,1,0,1,0.4,0.0003162,1.76,31.62,0.5
28,2,1,0,1,2,1,0.4,0.0003162,1.76,316.2,0.5
29,2,1,2,1,0,1,0.4,0.003162,1.76,31.62,0.5
30,2,1,2,1,2,1,0.4,0.003162,1.76,316.2,0.5
31,2,1,0,0,1,1,0.4,0.0003162,1.72,100.0,0.5
32,2,1,0,2,1,1,0.4,0.0003162,1.8,100.0,0.5
33,2,1,2,0,1,1,0.4,0.003162,1.72,100.0,0.5
34,2,1,2,2,1,1,0.4,0.003162,1.8,100.0,0.5
35,2,0,1,1,1,0,0.3,0.001,1.76,100.0,0.3
36,2,0,1,1,1,2,0.3,0.001,1.76,100.0,0.7
37,2,2,1,1,1,0,0.5,0.001,1.76,100.0,0.3
38,2,2,1,1,1,2,0.5,0.001,1.76,100.0,0.7
39,2,0,1,1,0,1,0.3,0.001,1.76,31.62,0.5
40,2,0,1,1,2,1,0.3,0.001,1.76,316.2,0.5
41,2,2,1,1,0,1,0.5,0.001,1.76,31.62,0.5
42,2,2,1,1,2,1,0.5,0.001,1.76,316.2,0.5
43,2,0,1,0,1,1,0.3,0.001,1.72,100.0,0.5
44,2,0,1,2,1,1,0.3,0.001,1.8,100.0,0.5
45,2,2,1,0,1,1,0.5,0.001,1.72,100.0,0.5
46,2,2,1,2,1,1,0.5,0.001,1.8,100.0,0.5
47,2,0,0,1,1,1,0.3,0.0003162,1.76,100.0,0.5
48,2,0,2,1,1,1,0.3,0.003162,1.76,100.0,0.5
49,2,2,0,1,1,1,0.5,0.0003162,1.76,100.0,0.5
50,2,2,2,1,1,1,0.5,0.003162,1.76,100.0,0.5
51,3,1,1,0,0,0,0.4,0.001,1.72,31.62,0.3
52,3,1,1,0,0,2,0.4,0.001,1.72,31.62,0.7
53,3,1,1,0,2,0,0.4,0.001,1.72,316.2,0.3
54,3,1,1,0,2,2,0.4,0.001,1.72,316.2,0.7
55,3,1,1,2,0,0,0.4,0.001,1.8,31.62,0.3
56,3,1,1,2,0,2,0.4,0.001,1.8,31.62,0.7
57,3,1,1,2,2,0,0.4,0.001,1.8,316.2,0.3
58,3,1,1,2,2,2,0.4,0.001,1.8,316.2,0.7
59,3,1,0,1,0,0,0.4,0.0003162,1.76,31.62,0.3
60,3,1,0,1,0,2,0.4,0.0003162,1.76,31.62,0.7
61,3,1,0,1,2,0,0.4,0.0003162,1.76,316.2,0.3
62,3,1,0,1,2,2,0.4,0.0003162,1.76,316.2,0.7
63,3,1,2,1,0,0,0.4,0.003162,1.76,31.62,0.3
