method,evaluation,iteration,memberId,overallCompositeLoss,bestSoFarLoss,bestEvaluation,bestIteration,bestMemberId
TuRBO,1,0,0,0.5652252115924438,0.5652252115924438,1,0,0
TuRBO,2,1,0,0.5515073164481152,0.5515073164481152,2,1,0
TuRBO,3,1,1,0.6511970216562263,0.5515073164481152,2,1,0
TuRBO,4,1,2,0.5126924824655866,0.5126924824655866,4,1,2
TuRBO,5,1,3,0.638315774071924,0.5126924824655866,4,1,2
TuRBO,6,1,4,0.7280678554585878,0.5126924824655866,4,1,2
TuRBO,7,1,5,0.5684293705767263,0.5126924824655866,4,1,2
TuRBO,8,1,6,0.6197274513214891,0.5126924824655866,4,1,2
TuRBO,9,1,7,0.5521561273247624,0.5126924824655866,4,1,2
TuRBO,10,1,8,0.6397322010915022,0.5126924824655866,4,1,2
TuRBO,11,1,9,0.5504251299364766,0.5126924824655866,4,1,2
TuRBO,12,1,10,0.6978921624496334,0.5126924824655866,4,1,2
TuRBO,13,1,11,0.5275375416257158,0.5126924824655866,4,1,2
TuRBO,14,1,12,0.560990852325974,0.5126924824655866,4,1,2
TuRBO,15,1,13,0.6177505881329293,0.5126924824655866,4,1,2
TuRBO,16,1,14,0.5496879157732869,0.5126924824655866,4,1,2
TuRBO,17,1,15,0.6854629627343469,0.5126924824655866,4,1,2
TuRBO,18,1,16,0.5368358423673585,0.5126924824655866,4,1,2
TuRBO,19,1,17,0.6447360019661063,0.5126924824655866,4,1,2
TuRBO,20,1,18,0.5268803496675178,0.5126924824655866,4,1,2
TuRBO,21,1,19,0.6888611353306503,0.5126924824655866,4,1,2
TuRBO,22,2,0,0.5580391616551237,0.5126924824655866,4,1,2
TuRBO,23,2,1,0.5586815464661263,0.5126924824655866,4,1,2
TuRBO,24,3,0,0.5547422711264147,0.5126924824655866,4,1,2
TuRBO,25,3,1,0.5704153547421609,0.5126924824655866,4,1,2
TuRBO,26,4,0,0.5663349073472432,0.5126924824655866,4,1,2
TuRBO,27,4,1,0.542818415974419,0.5126924824655866,4,1,2
TuRBO,28,5,0,0.5555287826774261,0.5126924824655866,4,1,2
TuRBO,29,5,1,0.542099821580393,0.5126924824655866,4,1,2
TuRBO,30,6,0,0.5555385632267178,0.5126924824655866,4,1,2
