Data values,Data values_sort,Data description,Data description_reference,Data description_sort,Data description_hierarchy,Local authority,Local authority_reference,Local authority_sort,Local authority_hierarchy,Period,Period_reference,Period_sort,Period_hierarchy,Tenure,Tenure_reference,Tenure_sort,Tenure_hierarchy,Notes
88900,88900,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2024,31/03/2024,1711929599000,,Local Authority (Number),1,1,,
149800,149800,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2024,31/03/2024,1711929599000,,Registered Social Landlord (Number),2,3,,
1243900,1243900,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2024,31/03/2024,1711929599000,,Owner occupied/Privately rented (Number),3,5,,
1043200,1043200,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2024,31/03/2024,1711929599000,,Owner occupied (Number),4,6,,Provisional
200700,200700,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2024,31/03/2024,1711929599000,,Privately rented (Number),5,8,,Provisional
1482600,1482600,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2024,31/03/2024,1711929599000,,All tenures (Number),6,10,,
88300,88300,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2023,31/03/2023,1680307199000,,Local Authority (Number),1,1,,
147900,147900,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2023,31/03/2023,1680307199000,,Registered Social Landlord (Number),2,3,,
1241800,1241800,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2023,31/03/2023,1680307199000,,Owner occupied/Privately rented (Number),3,5,,
1041400,1041400,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2023,31/03/2023,1680307199000,,Owner occupied (Number),4,6,,
200400,200400,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2023,31/03/2023,1680307199000,,Privately rented (Number),5,8,,
1478000,1478000,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2023,31/03/2023,1680307199000,,All tenures (Number),6,10,,
87700,87700,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2022,31/03/2022,1648771199000,,Local Authority (Number),1,1,,
146600,146600,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2022,31/03/2022,1648771199000,,Registered Social Landlord (Number),2,3,,
1238000,1238000,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2022,31/03/2022,1648771199000,,Owner occupied/Privately rented (Number),3,5,,
1039100,1039100,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2022,31/03/2022,1648771199000,,Owner occupied (Number),4,6,,
198900,198900,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2022,31/03/2022,1648771199000,,Privately rented (Number),5,8,,
1472400,1472400,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2022,31/03/2022,1648771199000,,All tenures (Number),6,10,,
87500,87500,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2021,31/03/2021,1617235199000,,Local Authority (Number),1,1,,
145300,145300,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2021,31/03/2021,1617235199000,,Registered Social Landlord (Number),2,3,,
1234400,1234400,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2021,31/03/2021,1617235199000,,Owner occupied/Privately rented (Number),3,5,,
1038000,1038000,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2021,31/03/2021,1617235199000,,Owner occupied (Number),4,6,,
196400,196400,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2021,31/03/2021,1617235199000,,Privately rented (Number),5,8,,
1467200,1467200,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2021,31/03/2021,1617235199000,,All tenures (Number),6,10,,
87300,87300,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2020,31/03/2020,1585699199000,,Local Authority (Number),1,1,,
142600,142600,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2020,31/03/2020,1585699199000,,Registered Social Landlord (Number),2,3,,
1230400,1230400,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2020,31/03/2020,1585699199000,,Owner occupied/Privately rented (Number),3,5,,
1031100,1031100,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2020,31/03/2020,1585699199000,,Owner occupied (Number),4,6,,
199200,199200,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2020,31/03/2020,1585699199000,,Privately rented (Number),5,8,,
1460200,1460200,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2020,31/03/2020,1585699199000,,All tenures (Number),6,10,,
87300,87300,Dwelling stock estimates,1,1,,Wales,W92000004,1,,31/03/2019,31/03/2019,1554076799000,,Local Authority (Number),1,1,,
