# Age (lower edge), Age (upper edge), Probability
16.0, 20.0, 0.0006950900810757476
20.0, 25.0, 0.004975770386367489
25.0, 30.0, 0.012485394135974897
30.0, 35.0, 0.016640373331999213
35.0, 40.0, 0.017061900513359294
40.0, 45.0, 0.017717093724898342
45.0, 50.0, 0.015926596847579265
50.0, 55.0, 0.018084470811897038
55.0, 60.0, 0.019380661335734753
60.0, 65.0, 0.017449824479483695
65.0, 70.0, 0.016465561568372398
70.0, 75.0, 0.01346038767381812
75.0, 80.0, 0.007448973281413725
80.0, 85.0, 0.007448973281413725
85.0, 95.0, 0.007448973281413725
